
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:32:E3:48:D4:4A, 2022-03-23 14:25:27, 2022-03-23 14:36:57, 11, 180, WPA2, CCMP, PSK, -85,      104,       25,   0.  0.  0.  0,   3, jio, 
7E:7A:92:82:75:A7, 2022-03-23 14:25:28, 2022-03-23 14:36:58,  6, 180, WPA2, CCMP, PSK, -92,      232,      952, 192.168. 43.120,   8, vivo Y73, 
F2:85:7B:7B:04:7F, 2022-03-23 14:25:45, 2022-03-23 14:34:06,  6, 180, WPA2, CCMP, PSK, -84,     1125,        6,   0.  0.  0.  0,   7, Bharani, 
52:7F:6E:08:FD:85, 2022-03-23 14:25:22, 2022-03-23 14:26:49, 11,  -1, OPN, ,   , -92,        0,      852,   0.  0.  0.  0,   0, , 
BE:91:B5:2D:F8:EB, 2022-03-23 14:25:37, 2022-03-23 14:35:37, 13,  65, OPN, ,   , -43,     1557,        4,   0.  0.  0.  0,  20, Infinix Smart 3 Plus, 
AC:C3:3A:B3:01:86, 2022-03-23 14:25:19, 2022-03-23 14:36:58,  1,  65, WPA2, CCMP, PSK, -53,     1169,     1785,   0.  0.  0.  0,   7, San NMS, 
6E:1E:D7:E9:11:27, 2022-03-23 14:25:19, 2022-03-23 14:36:58,  6,  65, WPA2, CCMP, PSK, -54,      920,     9902,   0.  0.  0.  0,   9, vivo 1820, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:4E:06:35:5E:5C, 2022-03-23 14:25:56, 2022-03-23 14:35:37, -61,       28, D8:32:E3:48:D4:4A,
1A:9C:E3:4F:56:C8, 2022-03-23 14:35:25, 2022-03-23 14:35:25, -79,        4, (not associated) ,
52:DC:6F:C4:25:2D, 2022-03-23 14:35:15, 2022-03-23 14:35:15, -79,        8, (not associated) ,
DA:31:DC:CD:B8:E9, 2022-03-23 14:34:25, 2022-03-23 14:34:26, -77,        8, (not associated) ,
72:EA:08:07:67:07, 2022-03-23 14:34:15, 2022-03-23 14:34:15, -85,       12, (not associated) ,
FA:B2:42:3F:73:BF, 2022-03-23 14:33:52, 2022-03-23 14:33:52, -87,        2, (not associated) ,selvakumar
FA:B2:42:D5:64:D1, 2022-03-23 14:29:16, 2022-03-23 14:32:54, -65,      961, 7E:7A:92:82:75:A7,
FA:B2:42:5F:BF:12, 2022-03-23 14:32:50, 2022-03-23 14:32:50, -91,        2, (not associated) ,selvakumar
FA:B2:42:65:31:21, 2022-03-23 14:29:14, 2022-03-23 14:29:14, -85,        5, (not associated) ,selvakumar
22:0C:30:B7:58:D3, 2022-03-23 14:28:49, 2022-03-23 14:28:49, -75,        2, (not associated) ,
DA:A1:19:35:05:EE, 2022-03-23 14:28:26, 2022-03-23 14:28:26, -87,        1, (not associated) ,vivo 1820
56:0E:2D:FE:7C:F4, 2022-03-23 14:27:41, 2022-03-23 14:27:41, -85,       11, (not associated) ,
FA:08:3D:DD:63:83, 2022-03-23 14:27:37, 2022-03-23 14:27:37, -91,        2, (not associated) ,
A8:A7:95:14:87:91, 2022-03-23 14:25:22, 2022-03-23 14:26:49,  -1,      854, 52:7F:6E:08:FD:85,
DA:A1:19:29:24:1C, 2022-03-23 14:26:08, 2022-03-23 14:26:08, -89,        1, (not associated) ,OnePlus 3T
EA:70:A6:5F:FC:3F, 2022-03-23 14:26:55, 2022-03-23 14:26:56, -73,        8, (not associated) ,
0A:F5:EC:66:EC:60, 2022-03-23 14:28:48, 2022-03-23 14:28:48, -79,        4, (not associated) ,
1A:68:9F:4B:D0:AF, 2022-03-23 14:28:48, 2022-03-23 14:28:48, -73,        2, (not associated) ,
AA:A9:42:60:B6:E4, 2022-03-23 14:30:44, 2022-03-23 14:30:44, -87,        1, (not associated) ,
46:DC:11:94:40:F3, 2022-03-23 14:32:20, 2022-03-23 14:32:21, -55,        7, (not associated) ,
CE:03:BF:05:F0:26, 2022-03-23 14:32:44, 2022-03-23 14:32:44, -89,        2, (not associated) ,
9A:35:3C:22:A6:98, 2022-03-23 14:32:44, 2022-03-23 14:32:44, -85,        1, (not associated) ,
62:D2:F0:F5:22:B8, 2022-03-23 14:34:20, 2022-03-23 14:34:21, -81,        8, (not associated) ,
DA:A1:19:0F:21:CB, 2022-03-23 14:34:42, 2022-03-23 14:34:43, -73,       46, (not associated) ,da,Oneplus 3T,OnePlus 3T 
BA:DF:97:CA:31:6A, 2022-03-23 14:34:55, 2022-03-23 14:34:56, -79,       16, (not associated) ,
46:87:D7:AD:CB:86, 2022-03-23 14:35:18, 2022-03-23 14:35:19, -81,       12, (not associated) ,
1E:90:49:22:18:34, 2022-03-23 14:35:35, 2022-03-23 14:35:35, -85,        1, (not associated) ,
7A:E3:FF:3F:20:D1, 2022-03-23 14:35:45, 2022-03-23 14:35:45, -83,       13, (not associated) ,
0A:71:20:B1:07:D9, 2022-03-23 14:36:35, 2022-03-23 14:36:35, -85,        4, (not associated) ,
8A:C6:CC:66:52:BB, 2022-03-23 14:36:25, 2022-03-23 14:36:25, -83,        5, (not associated) ,
7A:AB:F2:3F:5C:BC, 2022-03-23 14:35:55, 2022-03-23 14:35:56, -81,       10, (not associated) ,
02:AB:76:91:F5:46, 2022-03-23 14:36:15, 2022-03-23 14:36:15, -81,        7, (not associated) ,
DA:A1:19:77:11:8C, 2022-03-23 14:36:30, 2022-03-23 14:36:30, -79,        1, (not associated) ,vivo 1820
9E:A4:43:9B:08:31, 2022-03-23 14:36:45, 2022-03-23 14:36:46, -79,        8, (not associated) ,
80:8A:8B:1D:B0:B5, 2022-03-23 14:25:47, 2022-03-23 14:36:58, -48,     9893, 6E:1E:D7:E9:11:27,
4C:34:88:2C:8D:EB, 2022-03-23 14:25:19, 2022-03-23 14:36:53, -22,     1822, AC:C3:3A:B3:01:86,San NMS
EE:F9:DA:FE:6A:84, 2022-03-23 14:36:55, 2022-03-23 14:36:55, -85,        3, (not associated) ,

